label,message,label_encoded,clean_message,tokens_text
ham,Lol your always so convincing.,0,lol your always so convincing,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,catch bus frying egg make tea eating moms left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,im back amp were packing the car now ill let you know if theres room,im back amp packing car ill let know theres room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,ahhh work i vaguely remember that what does it feel like lol,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,wait thats still clear sure sarcastic thats x doesnt want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
ham,K tell me anything about you.,0,k tell me anything about you,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,for fear of fainting with the of all that housework you just did quick have a cuppa,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,yup ok go home look timings msg xuhui going learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",0,oops ill let you know when my roommates done,oops ill let know roommates done
ham,I see the letter B on my car,0,i see the letter b on my car,see letter b car
ham,Anything lor... U decide...,0,anything lor u decide,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,hello hows saturday go texting see youd decided anything tomo im trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,0,who are you seeing,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,great i hope you like your man well endowed i am ltgt inches,great hope like man well endowed ltgt inches
ham,No calls..messages..missed calls,0,no callsmessagesmissed calls,callsmessagesmissed calls
ham,Didn't you get hep b immunisation in nigeria.,0,didnt you get hep b immunisation in nigeria,didnt get hep b immunisation nigeria
ham,"Fair enough, anything going on?",0,fair enough anything going on,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,yeah hopefully if tyler cant do it i could maybe ask around a bit,yeah hopefully tyler cant could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,0,what you thinked about me first time you saw me in class,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,k fyi x ride early tomorrow morning hes crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,do you know what mallika sherawat did yesterday find out now lturlgt,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
ham,"Sorry, I'll call later in meeting.",0,sorry ill call later in meeting,sorry ill call later meeting
ham,Tell where you reached,0,tell where you reached,tell reached
ham,Yes..gauti and sehwag out of odi series.,0,yesgauti and sehwag out of odi series,yesgauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,gonna pick burger way home cant even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,0,ha ha ha good joke girls are situation seekers,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,0,its a part of checking iq,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorry my roommates took forever it ok if i come by now,sorry roommates took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,valued customer pleased advise following recent review mob awarded bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,did you hear about the new divorce barbie it comes with all of kens stuff,hear new divorce barbie comes kens stuff
ham,I plane to give on this month end.,0,i plane to give on this month end,plane give month end
ham,Wah lucky man... Then can save money... Hee...,0,wah lucky man then can save money hee,wah lucky man save money hee
ham,Finished class where are you.,0,finished class where are you,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,hi babe im at home now wanna do something xx,hi babe im home wanna something xx
ham,K..k:)where are you?how did you performed?,0,kkwhere are youhow did you performed,kkwhere youhow performed
ham,U can call me now...,0,u can call me now,u call
ham,I am waiting machan. Call me once you free.,0,i am waiting machan call me once you free,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,thats cool i am a gentleman and will treat you with dignity and respect,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,0,i like you peoples very much but am very shy pa,like peoples much shy pa
ham,Does not operate after  &lt;#&gt;  or what,0,does not operate after ltgt or what,operate ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,its not the same here still looking for a job how much do tas earn there,still looking job much tas earn
ham,"Sorry, I'll call later",0,sorry ill call later,sorry ill call later
ham,K. Did you call me just now ah? ,0,k did you call me just now ah,k call ah
ham,Ok i am on the way to home hi hi,0,ok i am on the way to home hi hi,ok way home hi hi
ham,You will be in the place of that man,0,you will be in the place of that man,place man
ham,Yup next stop.,0,yup next stop,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",0,i call you later dont have network if urgnt sms me,call later dont network urgnt sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,real u getting yo need tickets one jacket im done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,yes started send requests make pain came back im back bed double coins factory gotta cash nitros
ham,I'm really not up to it still tonight babe,0,im really not up to it still tonight babe,im really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,ela kanoil download come wen ur free,ela kanoil download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,yeah do dont stand to close tho youll catch something,yeah dont stand close tho youll catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,please call our customer service representative on between ampm as you have won a guaranteed cash or prize,please call customer service representative ampm guaranteed cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,havent planning to buy later i check already lido only got show in e afternoon u finish work already,havent planning buy later check already lido got show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box mk h ppw,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
ham,Watching telugu movie..wat abt u?,0,watching telugu moviewat abt u,watching telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,0,i see when we finish we have loads of loans to pay,see finish loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u
ham,I see a cup of coffee animation,0,i see a cup of coffee animation,see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,0,please dont text me anymore i have nothing else to say,please dont text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,okay name ur price long legal wen pick u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,im still looking for a car to buy and have not gone the driving test yet,im still looking car buy gone driving test yet
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,Umma my life and vava umma love you lot dear,0,umma my life and vava umma love you lot dear,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,thanks lot wishes birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",0,aight ill hit you up when i get some cash,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,how would my ip address test that considering my computer isnt a minecraft server,would ip address test considering computer isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,know grumpy old people mom like better lying always one play jokes
ham,Dont worry. I guess he's busy.,0,dont worry i guess hes busy,dont worry guess hes busy
ham,What is the plural of the noun research?,0,what is the plural of the noun research,plural noun research
ham,Going for dinner.msg you after.,0,going for dinnermsg you after,going dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,im ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,im ok wif cos like try new things scared u dun like mah cos u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim pmin,winner u specially selected receive holiday flights inc speak live operator claim pmin
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,goodo yes we must speak friday eggpotato ratio for tortilla needed,goodo yes must speak friday eggpotato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,hmmmy uncle just informed me that hes paying the school directly so pls buy food,hmmmy uncle informed hes paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,private your account statement for shows unredeemed bonus points to claim call identifier code expires,private account statement shows unredeemed bonus points claim call identifier code expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm
ham,here is my new address -apples&pairs&all that malarky,0,here is my new address applespairsall that malarky,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,0,i am going to sao mu today will be done only at,going sao mu today done
ham,Ü predict wat time ü'll finish buying?,0,predict wat time ll finish buying,predict wat time finish buying
ham,"Good stuff, will do.",0,good stuff will do,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
ham,Are you there in room.,0,are you there in room,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,0,kkhow much does it cost,kkhow much cost
ham,I'm home.,0,im home,im home
ham,"Dear, will call Tmorrow.pls accomodate.",0,dear will call tmorrowpls accomodate,dear call tmorrowpls accomodate
ham,First answer my question.,0,first answer my question,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sptyrone,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network bt txting gravel to nt eca,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca
ham,I only haf msn. It's yijue@hotmail.com,0,i only haf msn its,haf msn
ham,He is there. You call and meet him,0,he is there you call and meet him,call meet
ham,No no. I will check all rooms befor activities,0,no no i will check all rooms befor activities,check rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,youll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,got c lazy type forgot lect saw pouch like v nice
ham,"K, text me when you're on the way",0,k text me when youre on the way,k text youre way
ham,"Sir, Waiting for your mail.",0,sir waiting for your mail,sir waiting mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni
ham,I know you are. Can you pls open the back?,0,i know you are can you pls open the back,know pls open back
ham,Yes see ya not on the dot,0,yes see ya not on the dot,yes see ya dot
ham,Whats the staff name who is taking class for us?,0,whats the staff name who is taking class for us,whats staff name taking class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,ummmawill call after check inour life will begin from qatar so pls pray very hard,ummmawill call check inour life begin qatar pls pray hard
ham,K..i deleted my contact that why?,0,ki deleted my contact that why,ki deleted contact
ham,Sindu got job in birla soft ..,0,sindu got job in birla soft,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,0,the wine is flowing and im i have nevering,wine flowing im nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,yup i thk cine is better cos no need go down plaza mah,yup thk cine better cos need go plaza mah
ham,Ok... Ur typical reply...,0,ok ur typical reply,ok ur typical reply
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,0,aaooooright are you at work,aaooooright work
ham,I'm leaving my house now...,0,im leaving my house now,im leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me,hello love get interview today happy good boy think meare missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,customer service annoncement new years delivery waiting please call arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim,winner u specially selected receive cash holiday flights inc speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life,keep safe need miss already envy everyone sees real life
ham,New car and house for my parents.:)i have only new job in hand:),0,new car and house for my parentsi have only new job in hand,new car house parentsi new job hand
